"No.","Player","Pos.x","Ht","Wt","Birth.Date","X.","Exp","College","playerurls","Salary","Season","Age","Tm","Lg","Pos.y","G","GS","MP","FG","FGA","FG%","3P","3PA","3P%","2P","2PA","2P%","eFG%","FT","FTA","FT%","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","CareerG","CareerGS","CareerMP","CareerFG","CareerFGA","Career3P","Career3PA","Career2P","Career2PA","CareerFT","CareerFTA","CareerORB","CareerDRB","CareerTRB","CareerAST","CareerSTL","CareerBLK","CareerTOV","CareerPF","CareerPTS","PlayoffSeason","PlayoffAge","PlayoffTm","PlayoffLg","PlayoffPos","PlayoffG","PlayoffGS","PlayoffMP","PlayoffFG","PlayoffFGA","PlayoffFG%","Playoff3P","Playoff3PA","Playoff3P%","Playoff2P","Playoff2PA","Playoff2P%","PlayoffeFG%","PlayoffFT","PlayoffFTA","PlayoffFT%","PlayoffORB","PlayoffDRB","PlayoffTRB","PlayoffAST","PlayoffSTL","PlayoffBLK","PlayoffTOV","PlayoffPF","PlayoffPTS","CareerPlayoffG","CareerPlayoffGS","CareerPlayoffMP","CareerPlayoffFG","CareerPlayoffFGA","CareerPlayoff3P","CareerPlayoff3PA","CareerPlayoff2P","CareerPlayoff2PA","CareerPlayoffFT","CareerPlayoffFTA","CareerPlayoffORB","CareerPlayoffDRB","CareerPlayoffTRB","CareerPlayoffAST","CareerPlayoffSTL","CareerPlayoffBLK","CareerPlayoffTOV","CareerPlayoffPF","CareerPlayoffPTS"
1,"Jordan Farmar","PG","6-2",180,"November 30, 1986","us",7,"University of California, Los Angeles","http://www.basketball-reference.com/players/f/farmajo01.html",2077000,"2013-14",27,"LAL","NBA","PG",41,5,912,151,364,0.415,70,160,0.438,81,204,0.397,0.511,44,59,0.746,20,84,104,199,38,8,95,65,416,454,30,8985,1353,3182,528,1408,825,1774,365,500,148,740,888,1340,354,49,642,638,3599,"0",0,"0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,6,1035,128,324,51,143,77,181,43,55,14,88,102,100,39,8,60,82,350
1,"Jordan Hamilton","SF","6-7",220,"October 6, 1990","us",3,"University of Texas at Austin","http://www.basketball-reference.com/players/h/hamiljo02.html",150591,"2013-14",23,"TOT","NBA","SF",60,12,1019,147,376,0.391,70,198,0.354,77,178,0.433,0.484,40,51,0.784,32,162,194,52,44,20,46,67,404,126,15,1674,279,688,114,318,165,370,55,82,75,276,351,95,63,31,81,106,727,"0",0,"0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,7,2,4,0,0,2,4,0,0,0,0,0,0,1,0,1,1,4
27,"Jordan Hill","C","6-10",235,"July 27, 1987","us",5,"University of Arizona","http://www.basketball-reference.com/players/h/hilljo01.html",9e+06,"2013-14",26,"LAL","NBA","PF",72,32,1500,286,521,0.549,0,1,0,286,520,0.55,0.549,124,181,0.685,194,341,535,54,29,64,75,172,696,259,52,4258,717,1394,0,10,717,1384,300,442,541,827,1368,132,79,183,224,547,1734,"0",0,"0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,248,28,63,0,0,28,63,11,16,41,46,87,2,3,10,7,34,67
13,"Jorge Gutierrez","PG","6-3",191,"December 27, 1988","mx",1,"University of California","http://www.basketball-reference.com/players/g/gutiejo01.html",59686,"2013-14",25,"BRK","NBA","PG",15,2,244,25,54,0.463,3,12,0.25,22,42,0.524,0.491,9,12,0.75,3,19,22,30,10,1,14,37,62,15,2,244,25,54,3,12,22,42,9,12,3,19,22,30,10,1,14,37,62,"2013-14",25,"BRK","NBA","PG",2,0,3,0,0,0,0,0,0,0,0,0,0,2,4,0.5,1,0,1,0,0,0,0,0,2,2,0,3,0,0,0,0,0,0,2,4,1,0,1,0,0,0,0,0,2
3,"Jose Calderon","PG","6-3",200,"September 28, 1981","es",9,"","http://www.basketball-reference.com/players/c/caldejo01.html",7097191,"2013-14",32,"DAL","NBA","PG",81,81,2468,341,748,0.456,191,425,0.449,150,323,0.464,0.584,52,63,0.825,29,163,192,377,69,11,103,136,925,634,432,18264,2489,5192,698,1697,1791,3495,810,927,222,1355,1577,4332,568,58,1060,1084,6486,"2013-14",32,"DAL","NBA","PG",7,7,191,30,65,0.462,11,23,0.478,19,42,0.452,0.546,1,1,1,2,7,9,31,1,0,7,16,72,18,8,457,87,184,24,56,63,128,11,12,8,29,37,98,7,0,28,43,209
4,"Josh McRoberts","PF","6-10",240,"February 28, 1987","us",7,"Duke University","http://www.basketball-reference.com/players/m/mcrobjo01.html",5305000,"2013-14",26,"CHA","NBA","PF",78,78,2360,247,566,0.436,105,291,0.361,142,275,0.516,0.529,62,85,0.729,85,288,373,333,58,46,83,189,661,350,160,6993,787,1652,163,476,624,1176,267,376,416,1046,1462,737,182,180,306,675,2004,"2013-14",26,"CHA","NBA","PF",4,4,154,15,33,0.455,8,17,0.471,7,16,0.438,0.576,8,10,0.8,1,26,27,15,4,1,6,13,46,15,4,249,24,61,8,19,16,42,17,21,9,40,49,22,8,3,13,31,73
6,"Josh Smith","PF","6-9",225,"December 5, 1985","us",10,"","http://www.basketball-reference.com/players/s/smithjo03.html",16077000,"2013-14",28,"DET","NBA","SF",77,76,2730,517,1233,0.419,70,265,0.264,447,968,0.462,0.448,160,301,0.532,102,418,520,252,105,110,199,197,1264,753,730,25808,4547,9907,337,1207,4210,8700,2204,3426,1511,4416,5927,2422,962,1550,1914,2112,11635,"0",0,"0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,52,1872,306,725,15,87,291,638,193,283,106,335,441,153,64,89,121,166,820
5,"J.R. Smith","SG","6-6",225,"September 9, 1985","us",10,"","http://www.basketball-reference.com/players/s/smithjr01.html",6516000,"2013-14",28,"NYK","NBA","SF",74,37,2421,396,955,0.415,189,480,0.394,207,475,0.436,0.514,90,138,0.652,35,261,296,219,65,20,108,196,1071,692,167,18101,3315,7808,1312,3540,2003,4268,1300,1764,375,1892,2267,1525,691,136,1037,1562,9242,"0",0,"0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,1351,232,600,88,286,144,314,112,154,27,140,167,95,48,13,79,140,664
11,"Jrue Holiday","PG","6-4",205,"June 12, 1990","us",5,"University of California, Los Angeles","http://www.basketball-reference.com/players/h/holidjr01.html",9904495,"2013-14",23,"NOP","NBA","PG",34,34,1143,203,454,0.447,30,77,0.39,173,377,0.459,0.48,51,63,0.81,28,114,142,268,56,12,105,92,487,332,310,10933,1794,4095,329,876,1465,3219,564,720,298,908,1206,1994,481,109,906,755,4481,"0",0,"0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,18,682,98,237,31,70,67,167,50,59,20,60,80,95,30,10,37,34,277
7,"Justin Hamilton","C","7-0",260,"April 1, 1990","us",1,"Louisiana State University","http://www.basketball-reference.com/players/h/hamilju01.html",816482,"2013-14",23,"TOT","NBA","C",8,0,72,9,20,0.45,3,9,0.333,6,11,0.545,0.525,5,5,1,4,3,7,0,5,0,4,8,26,8,0,72,9,20,3,9,6,11,5,5,4,3,7,0,5,0,4,8,26,"0",0,"0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,"Kawhi Leonard","SF","6-7",230,"June 29, 1991","us",3,"San Diego State University","http://www.basketball-reference.com/players/l/leonaka01.html",2894059,"2013-14",22,"SAS","NBA","SF",66,65,1923,337,645,0.522,69,182,0.379,268,463,0.579,0.576,101,126,0.802,76,336,412,133,114,50,80,127,844,188,161,5267,796,1575,175,465,621,1110,273,340,243,842,1085,296,296,106,186,314,2040,"2013-14",22,"SAS","NBA","SF",23,23,736,122,239,0.51,31,74,0.419,91,165,0.552,0.575,53,72,0.736,31,124,155,38,39,14,29,66,328,58,58,1890,282,540,72,173,210,367,97,137,99,329,428,68,93,31,65,129,733
41,"Kelly Olynyk","C","7-0",238,"April 19, 1991","ca",1,"Gonzaga University","http://www.basketball-reference.com/players/o/olynyke01.html",2075760,"2013-14",22,"BOS","NBA","C",70,9,1400,234,502,0.466,40,114,0.351,194,388,0.5,0.506,99,122,0.811,140,225,365,109,35,27,106,227,607,70,9,1400,234,502,40,114,194,388,99,122,140,225,365,109,35,27,106,227,607,"0",0,"0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,"Kemba Walker","PG","6-1",172,"May 8, 1990","us",3,"University of Connecticut","http://www.basketball-reference.com/players/w/walkeke02.html",3272091,"2013-14",23,"CHA","NBA","PG",73,73,2614,449,1143,0.393,109,327,0.333,340,816,0.417,0.441,282,337,0.837,39,267,306,447,86,32,169,128,1289,221,180,7265,1256,3154,285,885,971,2269,746,921,129,694,823,1207,306,83,488,360,3543,"2013-14",23,"CHA","NBA","PG",4,4,153,26,55,0.473,12,24,0.5,14,31,0.452,0.582,14,18,0.778,1,14,15,24,8,3,15,6,78,4,4,153,26,55,12,24,14,31,14,18,1,14,15,24,8,3,15,6,78
5,"Kendall Marshall","PG","6-4",200,"August 19, 1991","us",2,"University of North Carolina","http://www.basketball-reference.com/players/m/marshke01.html",915243,"2013-14",22,"LAL","NBA","PG",54,45,1564,170,419,0.406,71,178,0.399,99,241,0.411,0.49,19,36,0.528,15,140,155,477,48,4,150,76,430,102,48,2266,226,570,94,251,132,319,27,50,19,178,197,620,70,8,207,124,573,"0",0,"0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,"Kendrick Perkins","C","6-10",270,"November 10, 1984","us",11,"","http://www.basketball-reference.com/players/p/perkike01.html",10088889,"2013-14",29,"OKC","NBA","C",62,62,1207,87,193,0.451,0,1,0,87,192,0.453,0.451,37,67,0.552,82,223,305,67,26,32,90,177,211,676,557,15457,1562,2915,0,13,1562,2902,750,1243,1189,2894,4083,729,235,850,1096,1915,3874,"2013-14",29,"OKC","NBA","C",19,19,384,24,45,0.533,0,0,0,24,45,0.533,0.533,12,15,0.8,33,69,102,14,4,6,25,64,60,135,129,3336,288,570,0,4,288,566,149,224,267,567,834,102,53,153,214,447,725
35,"Kenneth Faried","PF","6-8",228,"November 19, 1989","us",3,"Morehead State University","http://www.basketball-reference.com/players/f/farieke01.html",2249768,"2013-14",24,"DEN","NBA","PF",80,77,2178,447,820,0.545,0,3,0,447,817,0.547,0.545,202,311,0.65,238,446,684,96,70,69,135,193,1096,206,196,5463,1008,1818,0,3,1008,1815,474,741,640,1130,1770,209,185,199,302,543,2490,"0",0,"0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,11,337,52,92,0,0,52,92,20,27,37,75,112,5,10,9,19,42,124
5,"Kentavious Caldwell-Pope","SG","6-5",205,"February 18, 1993","us",1,"University of Georgia","http://www.basketball-reference.com/players/c/caldwke01.html",2772480,"2013-14",20,"DET","NBA","SG",80,41,1583,182,460,0.396,59,185,0.319,123,275,0.447,0.46,47,61,0.77,38,118,156,55,75,12,28,145,470,80,41,1583,182,460,59,185,123,275,47,61,38,118,156,55,75,12,28,145,470,"0",0,"0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,"Kent Bazemore","SG","6-5",201,"July 1, 1989","us",2,"Old Dominion University","http://www.basketball-reference.com/players/b/bazemke01.html",2e+06,"2013-14",24,"TOT","NBA","SG",67,15,911,147,343,0.429,43,128,0.336,104,215,0.484,0.491,66,109,0.606,10,107,117,91,43,13,79,102,403,128,15,1178,190,459,53,162,137,297,93,153,15,124,139,113,60,17,97,129,526,"0",0,"0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,16,1,8,0,1,1,7,0,4,1,4,5,2,1,0,2,3,2
6,"Kenyon Martin","PF","6-9",234,"December 30, 1977","us",14,"University of Cincinnati","http://www.basketball-reference.com/players/m/martike01.html",414551,"2013-14",36,"NYK","NBA","PF",32,15,633,63,123,0.512,0,1,0,63,122,0.516,0.512,11,19,0.579,36,98,134,50,25,27,26,85,137,746,667,23030,3866,8009,66,282,3800,7727,1507,2396,1306,3834,5140,1434,888,858,1315,2485,9305,"0",0,"0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112,88,3589,579,1233,4,31,575,1202,279,411,202,556,758,202,121,138,217,458,1441
35,"Kevin Durant","SF","6-9",240,"September 29, 1988","us",7,"University of Texas at Austin","http://www.basketball-reference.com/players/d/duranke01.html",18995624,"2013-14",25,"OKC","NBA","SF",81,81,3122,849,1688,0.503,192,491,0.391,657,1197,0.549,0.56,703,805,0.873,58,540,598,445,103,59,285,174,2593,542,542,20717,4976,10380,893,2369,4083,8011,4006,4543,453,3298,3751,1892,681,529,1759,1036,14851,"2013-14",25,"OKC","NBA","SF",19,19,815,194,422,0.46,43,125,0.344,151,297,0.508,0.511,132,163,0.81,25,145,170,75,19,25,72,41,563,73,73,3090,702,1519,153,449,549,1070,552,658,71,531,602,280,81,88,242,187,2109
2,"Kevin Garnett","PF","6-11",240,"May 19, 1976","us",19,"","http://www.basketball-reference.com/players/g/garneke01.html",1.2e+07,"2013-14",37,"BRK","NBA","C",54,54,1109,157,356,0.441,0,3,0,157,353,0.445,0.441,38,47,0.809,60,298,358,82,43,40,69,123,352,1377,1340,48910,10308,20721,173,624,10135,20097,4837,6124,3146,11055,14201,5306,1785,2010,3117,3382,25626,"2013-14",37,"BRK","NBA","C",12,12,250,33,63,0.524,0,2,0,33,61,0.541,0.524,17,23,0.739,19,57,76,16,9,5,13,25,83,143,143,5283,1059,2216,15,55,1044,2161,468,593,320,1214,1534,471,178,186,342,431,2601
0,"Kevin Love","PF","6-10",251,"September 7, 1988","us",6,"University of California, Los Angeles","http://www.basketball-reference.com/players/l/loveke01.html",15719062,"2013-14",25,"MIN","NBA","PF",77,77,2797,650,1421,0.457,190,505,0.376,460,916,0.502,0.524,520,633,0.821,224,739,963,341,59,35,196,136,2010,364,282,11933,2318,5138,440,1215,1878,3923,1913,2346,1345,3108,4453,898,242,173,753,811,6989,"0",0,"0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,"Kevin Martin","SG","6-7",199,"February 1, 1983","us",10,"Western Carolina University","http://www.basketball-reference.com/players/m/martike02.html",6792500,"2013-14",30,"MIN","NBA","SG",68,68,2177,440,1023,0.43,115,297,0.387,325,726,0.448,0.486,303,340,0.891,34,169,203,121,66,6,106,123,1298,620,455,19162,3424,7753,1017,2642,2407,5111,3238,3726,368,1658,2026,1205,584,74,1070,1202,11103,"0",0,"0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,1,520,71,183,23,65,48,118,68,72,12,52,64,17,10,5,13,29,233
13,"Kevin Seraphin","C","6-9",285,"December 7, 1989","gf",4,"","http://www.basketball-reference.com/players/s/serapke01.html",3898692,"2013-14",24,"WAS","NBA","C",53,1,578,111,220,0.505,0,0,0,111,220,0.505,0.505,27,31,0.871,53,75,128,17,3,26,41,103,249,247,31,4110,710,1465,0,1,710,1464,157,220,343,563,906,117,63,189,279,573,1577,"2013-14",24,"WAS","NBA","C",4,0,6,0,3,0,0,0,0,0,3,0,0,0,0,0,1,1,2,0,0,0,1,1,0,4,0,6,0,3,0,0,0,3,0,0,1,1,2,0,0,0,1,1,0
22,"Khris Middleton","SF","6-8",234,"August 12, 1991","us",2,"Texas A&M University","http://www.basketball-reference.com/players/m/middlkh01.html",915243,"2013-14",22,"MIL","NBA","SF",82,64,2460,376,854,0.44,120,290,0.414,256,564,0.454,0.511,118,137,0.861,60,250,310,169,83,20,123,243,990,109,64,2935,438,995,134,335,304,660,145,169,64,296,360,197,98,24,134,296,1155,"0",0,"0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,"Kirk Hinrich","SG","6-4",190,"January 2, 1981","us",11,"University of Kansas","http://www.basketball-reference.com/players/h/hinriki01.html",2730000,"2013-14",33,"CHI","NBA","PG",73,61,2116,243,619,0.393,85,242,0.351,158,377,0.419,0.461,95,125,0.76,31,161,192,286,80,26,120,203,666,767,636,24774,3312,8012,1090,2892,2222,5120,1366,1704,282,2103,2385,4024,911,227,1514,2279,9080,"2013-14",33,"CHI","NBA","PG",5,5,167,23,56,0.411,7,19,0.368,16,37,0.432,0.473,2,4,0.5,1,14,15,22,4,1,11,22,55,55,46,1858,257,600,85,213,172,387,117,157,18,159,177,263,71,16,96,175,716
11,"Klay Thompson","SG","6-7",215,"February 8, 1990","us",3,"Washington State University","http://www.basketball-reference.com/players/t/thompkl01.html",3075880,"2013-14",23,"GSW","NBA","SG",81,81,2868,559,1259,0.444,223,535,0.417,336,724,0.464,0.533,147,185,0.795,38,211,249,181,74,37,135,234,1488,229,192,7412,1385,3182,545,1329,840,1853,358,433,94,622,716,497,209,102,395,626,3673,"2013-14",23,"GSW","NBA","SG",7,7,257,40,98,0.408,16,44,0.364,24,54,0.444,0.49,19,24,0.792,4,20,24,25,7,5,15,24,115,19,19,752,116,272,41,103,75,169,24,30,13,66,79,47,19,12,39,68,297
24,"Kobe Bryant","SG","6-6",212,"August 23, 1978","us",18,"","http://www.basketball-reference.com/players/b/bryanko01.html",23500000,"2013-14",35,"LAL","NBA","SG",6,6,177,31,73,0.425,3,16,0.188,28,57,0.491,0.445,18,21,0.857,2,24,26,38,7,1,34,9,83,1245,1097,45567,11055,24374,1640,4895,9415,19479,7950,9489,1432,5169,6601,5925,1835,620,3753,3173,31700,"0",0,"0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220,200,8641,2014,4499,292,882,1722,3617,1320,1617,230,889,1119,1040,310,144,647,660,5640
41,"Kosta Koufos","C","7-0",265,"February 24, 1989","us",6,"Ohio State University","http://www.basketball-reference.com/players/k/koufoko01.html",3e+06,"2013-14",24,"MEM","NBA","C",80,22,1349,227,459,0.495,0,0,0,227,459,0.495,0.495,60,93,0.645,160,258,418,39,32,71,67,182,514,343,136,5129,821,1541,0,3,821,1538,220,361,589,962,1551,119,124,275,225,679,1862,"2013-14",24,"MEM","NBA","C",7,0,45,7,16,0.438,0,0,0,7,16,0.438,0.438,4,4,1,7,8,15,2,2,3,3,7,18,26,4,204,20,49,1,1,19,48,9,10,24,32,56,5,5,9,10,27,50
43,"Kris Humphries","PF","6-9",235,"February 6, 1985","us",10,"University of Minnesota","http://www.basketball-reference.com/players/h/humphkr01.html",4300000,"2013-14",28,"BOS","NBA","PF",69,30,1376,231,461,0.501,0,2,0,231,459,0.503,0.501,117,144,0.813,127,282,409,67,31,61,64,136,579,627,165,11363,1659,3531,2,19,1657,3512,921,1343,1152,2322,3474,434,261,385,579,1163,4241,"0",0,"0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,154,17,40,0,0,17,40,6,15,17,23,40,2,2,5,5,26,40
26,"Kyle Korver","SG","6-7",212,"March 17, 1981","us",11,"Creighton University","http://www.basketball-reference.com/players/k/korveky01.html",6253521,"2013-14",32,"ATL","NBA","SG",71,71,2408,289,609,0.475,185,392,0.472,104,217,0.479,0.626,87,94,0.926,22,260,282,208,70,24,102,147,850,809,241,20743,2755,6286,1508,3549,1247,2737,949,1079,276,2168,2444,1407,576,254,854,1800,7967,"2013-14",32,"ATL","NBA","SG",7,7,250,30,66,0.455,23,54,0.426,7,12,0.583,0.629,11,12,0.917,2,35,37,5,4,2,11,15,94,67,16,1549,184,443,102,264,82,179,68,76,14,133,147,76,33,22,63,151,538
7,"Kyle Lowry","PG","6-1",196,"March 25, 1986","us",8,"Villanova University","http://www.basketball-reference.com/players/l/lowryky01.html",1.2e+07,"2013-14",27,"TOR","NBA","PG",79,79,2862,457,1080,0.423,190,500,0.38,267,580,0.46,0.511,313,385,0.813,88,281,369,586,121,15,194,267,1417,506,270,14549,1905,4553,600,1715,1305,2838,1530,1935,440,1489,1929,2739,625,125,1011,1349,5940,"2013-14",27,"TOR","NBA","PG",7,7,271,44,109,0.404,17,43,0.395,27,66,0.409,0.482,43,49,0.878,9,24,33,33,6,0,20,27,148,20,7,525,65,172,21,59,44,113,66,80,17,54,71,65,18,1,37,50,217
2,"Kyle O'Quinn","PF","6-10",250,"March 26, 1990","us",2,"Norfolk State University","http://www.basketball-reference.com/players/o/oquinky01.html",915243,"2013-14",23,"ORL","NBA","C",69,19,1188,186,371,0.501,0,3,0,186,368,0.505,0.501,57,83,0.687,100,264,364,78,39,88,78,165,429,126,24,1826,287,568,0,4,287,564,87,128,165,408,573,130,50,114,115,272,661,"0",0,"0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,"Kyle Singler","SF","6-8",228,"May 4, 1988","us",2,"Duke University","http://www.basketball-reference.com/players/s/singlky01.html",1090000,"2013-14",25,"DET","NBA","SF",82,36,2337,269,602,0.447,94,246,0.382,175,356,0.492,0.525,152,184,0.826,116,187,303,75,61,38,79,211,784,164,110,4630,544,1244,164,446,380,798,252,308,225,408,633,152,118,75,177,428,1504,"0",0,"0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,"Kyrie Irving","PG","6-3",193,"March 23, 1992","au",3,"Duke University","http://www.basketball-reference.com/players/i/irvinky01.html",7070730,"2013-14",21,"CLE","NBA","PG",71,71,2496,532,1237,0.43,123,344,0.358,409,893,0.458,0.48,291,338,0.861,52,207,259,433,108,23,190,163,1478,181,181,6102,1366,3054,305,806,1061,2248,710,824,130,536,666,1058,251,64,541,419,3747,"0",0,"0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,"LaMarcus Aldridge","PF","6-11",260,"July 19, 1985","us",8,"University of Texas at Austin","http://www.basketball-reference.com/players/a/aldrila01.html",16006000,"2013-14",28,"POR","NBA","PF",69,69,2498,652,1423,0.458,3,15,0.2,649,1408,0.461,0.459,296,360,0.822,166,599,765,178,63,68,123,147,1603,577,536,20460,4462,9150,24,116,4438,9034,1953,2477,1559,3149,4708,1137,479,590,924,1571,10901,"2013-14",28,"POR","NBA","PF",11,11,441,113,250,0.452,2,3,0.667,111,247,0.449,0.456,60,75,0.8,30,87,117,16,7,18,19,40,288,29,29,1165,257,562,4,9,253,553,126,163,65,178,243,45,25,49,49,91,644
1,"Lance Stephenson","SG","6-5",230,"September 5, 1990","us",4,"University of Cincinnati","http://www.basketball-reference.com/players/s/stephla01.html",9e+06,"2013-14",23,"IND","NBA","SG",78,78,2752,427,870,0.491,86,244,0.352,341,626,0.545,0.54,140,197,0.711,95,463,558,359,54,7,210,195,1080,210,151,5587,762,1632,152,467,610,1165,234,343,155,778,933,649,160,28,371,401,1910,"2013-14",23,"IND","NBA","SG",19,19,705,100,220,0.455,24,67,0.358,76,153,0.497,0.509,35,49,0.714,24,107,131,80,16,4,46,55,259,42,38,1390,171,398,43,133,128,265,59,88,38,237,275,144,39,6,84,104,444
42,"Lance Thomas","PF","6-8",235,"April 24, 1988","us",3,"Duke University","http://www.basketball-reference.com/players/t/thomala01.html",403784,"2013-14",25,"NOP","NBA","SF",5,0,42,2,9,0.222,0,0,0,2,9,0.222,0.222,2,4,0.5,2,5,7,3,0,0,2,4,6,106,19,1318,112,241,0,1,112,240,97,125,95,153,248,32,21,14,40,160,321,"0",0,"0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,"Landry Fields","SF","6-7",210,"June 27, 1988","us",4,"Stanford University","http://www.basketball-reference.com/players/f/fieldla01.html",6250000,"2013-14",25,"TOR","NBA","SF",30,2,322,27,67,0.403,0,5,0,27,62,0.435,0.403,14,22,0.636,15,44,59,20,10,3,11,25,68,229,167,5794,664,1405,119,359,545,1046,238,359,238,828,1066,404,201,45,262,301,1685,"2013-14",25,"TOR","NBA","SF",3,0,26,0,2,0,0,0,0,0,2,0,0,0,0,0,2,5,7,1,4,1,1,2,0,12,8,212,18,48,1,9,17,39,6,13,7,20,27,13,9,4,14,7,43
8,"Larry Sanders","C","6-11",235,"November 21, 1988","us",4,"Virginia Commonwealth University","http://www.basketball-reference.com/players/s/sandela01.html",1.1e+07,"2013-14",25,"MIL","NBA","C",23,20,584,76,162,0.469,0,1,0,76,161,0.472,0.469,26,55,0.473,60,105,165,19,18,40,26,74,178,206,87,4036,582,1219,0,5,582,1214,156,279,405,770,1175,151,125,389,194,557,1320,"0",0,"0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,113,19,33,0,0,19,33,5,11,11,22,33,5,3,5,12,18,43
5,"Lavoy Allen","C","6-9",260,"February 4, 1989","us",3,"Temple University","http://www.basketball-reference.com/players/a/allenla01.html",948163,"2013-14",24,"TOT","NBA","PF",65,2,1072,134,300,0.447,2,13,0.154,132,287,0.46,0.45,33,50,0.66,119,192,311,71,24,33,44,126,303,185,54,3365,419,921,2,14,417,907,87,124,325,552,877,178,61,106,119,379,927,"2013-14",24,"IND","NBA","PF",4,0,15,2,4,0.5,0,0,0,2,4,0.5,0.5,0,0,0,1,4,5,1,0,0,0,1,4,16,1,251,36,65,0,0,36,65,7,12,22,42,64,4,10,11,5,31,79
19,"Leandro Barbosa","SG","6-3",194,"November 28, 1982","br",11,"","http://www.basketball-reference.com/players/b/barbole01.html",1448490,"2013-14",31,"PHO","NBA","PG",20,0,368,56,131,0.427,7,25,0.28,49,106,0.462,0.454,31,39,0.795,5,32,37,32,7,4,19,30,150,649,111,15362,2877,6261,871,2236,2006,4025,1091,1330,253,1155,1408,1513,577,95,916,1375,7716,"0",0,"0","0","0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75,5,1713,268,643,68,211,200,432,113,148,26,126,152,133,43,9,88,170,717
